student_id,episode,policy,state,action,correct,reward,mastery_before,mastery_after
synthetic-001,1,q_learning_adaptive,low:relativism,hard_quiz,0,-14.9,0.274,0.225
synthetic-001,2,q_learning_adaptive,low:relativism,easy_quiz,1,109.5,0.225,0.32
synthetic-001,3,q_learning_adaptive,low:relativism,review_previous,0,-9.65,0.32,0.3235
synthetic-001,4,q_learning_adaptive,low:relativism,easy_quiz,0,-10.0,0.3235,0.3235
synthetic-001,5,q_learning_adaptive,low:relativism,easy_quiz,1,109.5,0.3235,0.4185
synthetic-001,6,q_learning_adaptive,low:relativism,review_previous,0,-9.65,0.4185,0.422
synthetic-001,7,q_learning_adaptive,low:relativism,easy_quiz,1,109.5,0.422,0.517
synthetic-001,8,q_learning_adaptive,medium:relativism,show_text,0,-12.45,0.517,0.4925
synthetic-001,9,q_learning_adaptive,low:relativism,easy_quiz,0,-10.0,0.4925,0.4925
synthetic-001,10,q_learning_adaptive,low:relativism,easy_quiz,0,-10.0,0.4925,0.4925
synthetic-001,11,q_learning_adaptive,low:relativism,easy_quiz,0,-10.0,0.4925,0.4925
synthetic-001,12,q_learning_adaptive,low:relativism,review_previous,0,-13.15,0.4925,0.461
synthetic-001,13,q_learning_adaptive,low:relativism,easy_quiz,1,109.5,0.461,0.556
synthetic-001,14,q_learning_adaptive,medium:relativism,show_text,1,107.05,0.556,0.6265
synthetic-001,15,q_learning_adaptive,medium:relativism,show_text,1,107.05,0.6265,0.697
synthetic-001,16,q_learning_adaptive,medium:relativism,show_text,1,107.05,0.697,0.7675
synthetic-001,17,q_learning_adaptive,medium:relativism,show_text,0,-12.45,0.7675,0.743
synthetic-001,18,q_learning_adaptive,medium:relativism,show_text,0,-12.45,0.743,0.7185
synthetic-002,1,q_learning_adaptive,low:commitment,show_text,1,107.05,0.3941,0.4646
synthetic-002,2,q_learning_adaptive,low:commitment,show_video,1,107.4,0.4646,0.5386
synthetic-002,3,q_learning_adaptive,medium:commitment,easy_quiz,1,109.5,0.5386,0.6336
synthetic-002,4,q_learning_adaptive,medium:commitment,easy_quiz,1,109.5,0.6336,0.7286
synthetic-002,5,q_learning_adaptive,medium:commitment,easy_quiz,1,107.05,0.7286,0.7991
synthetic-002,6,q_learning_adaptive,medium:commitment,hard_quiz,1,110.2,0.7991,0.9011
synthetic-002,7,q_learning_adaptive,high:commitment,show_text,1,107.05,0.9011,0.9716
synthetic-002,8,q_learning_adaptive,high:commitment,show_text,1,107.05,0.9716,1.0
synthetic-002,9,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,10,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,11,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,12,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,13,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,14,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,15,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,16,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,17,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-002,18,q_learning_adaptive,high:commitment,show_text,1,107.05,1.0,1.0
synthetic-003,1,q_learning_adaptive,medium:multiplicity,show_text,1,107.05,0.5896,0.6601
synthetic-003,2,q_learning_adaptive,medium:multiplicity,show_text,1,107.05,0.6601,0.7306
synthetic-003,3,q_learning_adaptive,medium:multiplicity,show_text,1,107.05,0.7306,0.8011
synthetic-003,4,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,0.8011,0.8646
synthetic-003,5,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,0.8646,0.9281
synthetic-003,6,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,0.9281,0.9916
synthetic-003,7,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,0.9916,1.0
synthetic-003,8,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,9,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,10,q_learning_adaptive,high:multiplicity,show_text,1,107.05,1.0,1.0
synthetic-003,11,q_learning_adaptive,high:multiplicity,show_video,1,109.5,1.0,1.0
synthetic-003,12,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,13,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,14,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,15,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,16,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,17,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-003,18,q_learning_adaptive,high:multiplicity,review_previous,1,106.35,1.0,1.0
synthetic-004,1,q_learning_adaptive,medium:dualism,show_text,1,109.5,0.5273,0.6223
synthetic-004,2,q_learning_adaptive,medium:dualism,show_text,1,109.5,0.6223,0.7173
