action,cognitive_stage,correct,event_type,gkt_baseline_score,gkt_graph_score,module_id,student_id,subtopic_id,true_mastery
pre_test,relativism,1,pre_test,,,mod-001,synthetic-001,sub-001-1,0.4357
pre_test,relativism,1,pre_test,,,mod-001,synthetic-001,sub-001-2,0.4161
pre_test,relativism,0,pre_test,,,mod-001,synthetic-001,sub-001-3,0.4415
pre_test,relativism,0,pre_test,,,mod-001,synthetic-001,sub-001-4,0.5268
pre_test,relativism,1,pre_test,,,mod-001,synthetic-001,sub-001-5,0.3496
pre_test,relativism,0,pre_test,,,mod-002,synthetic-001,sub-002-1,0.3493
pre_test,relativism,0,pre_test,,,mod-002,synthetic-001,sub-002-2,0.2918
pre_test,relativism,0,pre_test,,,mod-002,synthetic-001,sub-002-3,0.3199
pre_test,relativism,0,pre_test,,,mod-002,synthetic-001,sub-002-4,0.2468
pre_test,relativism,0,pre_test,,,mod-002,synthetic-001,sub-002-5,0.3203
pre_test,relativism,0,pre_test,,,mod-003,synthetic-001,sub-003-1,0.2652
pre_test,relativism,0,pre_test,,,mod-003,synthetic-001,sub-003-2,0.2123
pre_test,relativism,1,pre_test,,,mod-003,synthetic-001,sub-003-3,0.3277
pre_test,relativism,0,pre_test,,,mod-003,synthetic-001,sub-003-4,0.2589
pre_test,relativism,0,pre_test,,,mod-003,synthetic-001,sub-003-5,0.4048
pre_test,commitment,1,pre_test,,,mod-001,synthetic-002,sub-001-1,0.8576
pre_test,commitment,1,pre_test,,,mod-001,synthetic-002,sub-001-2,0.9327
pre_test,commitment,1,pre_test,,,mod-001,synthetic-002,sub-001-3,0.8987
pre_test,commitment,1,pre_test,,,mod-001,synthetic-002,sub-001-4,0.8953
pre_test,commitment,1,pre_test,,,mod-001,synthetic-002,sub-001-5,0.9705
pre_test,commitment,1,pre_test,,,mod-002,synthetic-002,sub-002-1,0.7719
pre_test,commitment,0,pre_test,,,mod-002,synthetic-002,sub-002-2,0.6857
pre_test,commitment,1,pre_test,,,mod-002,synthetic-002,sub-002-3,0.7192
pre_test,commitment,1,pre_test,,,mod-002,synthetic-002,sub-002-4,0.8379
pre_test,commitment,0,pre_test,,,mod-002,synthetic-002,sub-002-5,0.7646
pre_test,commitment,0,pre_test,,,mod-003,synthetic-002,sub-003-1,0.627
pre_test,commitment,0,pre_test,,,mod-003,synthetic-002,sub-003-2,0.7169
pre_test,commitment,0,pre_test,,,mod-003,synthetic-002,sub-003-3,0.6938
pre_test,commitment,1,pre_test,,,mod-003,synthetic-002,sub-003-4,0.7991
pre_test,commitment,0,pre_test,,,mod-003,synthetic-002,sub-003-5,0.7056
pre_test,multiplicity,1,pre_test,,,mod-001,synthetic-003,sub-001-1,0.9317
pre_test,multiplicity,0,pre_test,,,mod-001,synthetic-003,sub-001-2,0.8136
pre_test,multiplicity,1,pre_test,,,mod-001,synthetic-003,sub-001-3,0.8831
pre_test,multiplicity,1,pre_test,,,mod-001,synthetic-003,sub-001-4,0.9467
pre_test,multiplicity,1,pre_test,,,mod-001,synthetic-003,sub-001-5,0.8546
pre_test,multiplicity,1,pre_test,,,mod-002,synthetic-003,sub-002-1,0.7867
pre_test,multiplicity,1,pre_test,,,mod-002,synthetic-003,sub-002-2,0.8607
pre_test,multiplicity,1,pre_test,,,mod-002,synthetic-003,sub-002-3,0.793
pre_test,multiplicity,1,pre_test,,,mod-002,synthetic-003,sub-002-4,0.8228
pre_test,multiplicity,1,pre_test,,,mod-002,synthetic-003,sub-002-5,0.9793
pre_test,multiplicity,1,pre_test,,,mod-003,synthetic-003,sub-003-1,1.0
pre_test,multiplicity,1,pre_test,,,mod-003,synthetic-003,sub-003-2,1.0
pre_test,multiplicity,1,pre_test,,,mod-003,synthetic-003,sub-003-3,0.9633
pre_test,multiplicity,1,pre_test,,,mod-003,synthetic-003,sub-003-4,1.0
pre_test,multiplicity,1,pre_test,,,mod-003,synthetic-003,sub-003-5,1.0
pre_test,dualism,0,pre_test,,,mod-001,synthetic-004,sub-001-1,0.6076
pre_test,dualism,1,pre_test,,,mod-001,synthetic-004,sub-001-2,0.6696
pre_test,dualism,1,pre_test,,,mod-001,synthetic-004,sub-001-3,0.5793
pre_test,dualism,1,pre_test,,,mod-001,synthetic-004,sub-001-4,0.6671
pre_test,dualism,1,pre_test,,,mod-001,synthetic-004,sub-001-5,0.5872
pre_test,dualism,1,pre_test,,,mod-002,synthetic-004,sub-002-1,0.5743
pre_test,dualism,1,pre_test,,,mod-002,synthetic-004,sub-002-2,0.6626
pre_test,dualism,1,pre_test,,,mod-002,synthetic-004,sub-002-3,0.8048
pre_test,dualism,0,pre_test,,,mod-002,synthetic-004,sub-002-4,0.5417
pre_test,dualism,1,pre_test,,,mod-002,synthetic-004,sub-002-5,0.7159
pre_test,dualism,1,pre_test,,,mod-003,synthetic-004,sub-003-1,0.4148
